title;year;description;url;organisation
SDGs - Sustainable Development Goals;;SDG 2 Hunger. SDG 13 Climate Action SDG 15 Life of Land and SDG 17 Partnership They strive for the reduction of climate change and poverty, and the improvement of health, and economic growth including agriculture;https://www.undp.org/sustainable-development-goals;Ministry of Devolution
Strategic plan for Agricultural and Rural Statistics;2015-2022;Support data generation and update data sharing for national Planning;https://www.knbs.or.ke/strategic-plan-for-agricultural-and-rural-statistics-2015-2022-2/;Ministry of Agriculture, Livestock, Fisheries and Co-operatives
Ministry of Agriculture - Global open data for agriculture and nutrition, mandate (GODAN);;Facilitate or make available data collated or collected using public funds;https://www.godan.info/;Ministry of Agriculture, Livestock, Fisheries and Co-operatives
Kenya Climate Smart Agriculture Implementation Framework;2018-2027;Facilitate development/strengthening of interactive ICT platforms to provide agricultural sector information on value chains;https://repository.kippra.or.ke/handle/123456789/2065;Ministry of Agriculture, Livestock, Fisheries and Co-operatives
KASEP - Draft Kenya Agricultural Sector Extension Policy;2022;The policy will enable the extension service to realize its vision: -Kenyan agricultural extension clientele demand and access appropriate quality extension services from the best providers and attain higher productivity, increased incomes and improved standard of living-. Recognizes that Information technology and digital technologies for extension services - key in reshaping the agri-food;https://kilimo.go.ke/wp-content/uploads/2022/03/DRAFT-KASEP-POLICY-14.3.2022.pdf;Ministry of Agriculture, Livestock, Fisheries and Co-operatives
National ICT Policy;2019;"Key sectors, including agriculture must converge towards a consistent, coherent data-centric approach (informatisation) To facilitate universal access to ICT infrastructure and services all over the country, with a focus on Mobile First; Markets; Skills and Innovation; and Public Service Delivery";https://repository.kippra.or.ke/handle/123456789/1728;Ministry of Information, Communications and Technology
Kenya Digital Master Plan;2022-2032;Automation of critical Government services including agriculture;https://repository.kippra.or.ke/handle/123456789/3580;Ministry of ICT
Kenya Broadband Policy;2018-2023;Develop e-agriculture systems to improve food security;https://repository.kippra.or.ke/handle/123456789/2800;Ministry of ICT
Kenya Climate Smart Agriculture Implementation Framework;;The framework sets for strategies on how to increasing productivity, enhance resilience and mitigate GHG in farming systems.;https://repository.kippra.or.ke/handle/123456789/2065;County Government (Department of Agriculture)
Environment and Management and Coordination Act;;Prevent pollution and ecological degradation;https://eregulations.invest.go.ke/media/emca_1.pdf;"NEMA; Pest control service board (PCSB) Environment and natural resource body"
County Integrated Development Plan;;Guide for county development strategies and priority actions;;County Government
Draft Busia County Crop Acts;;Guide for the general agriculture development in the County;;Department of Agriculture
Busia County Data Protection and Security policy;;"Safeguarding personal data confidentiality within the County; Integrity and availability";;County Government
ICT Standard Operating Procedures;;Ensure security of information;;County Government
Guide the County in the management of environment, including natural resources and remedial actions in cases of negative externalities;;;;County Government
Busia climate change Act of 2021;2021;Sets in place structures to address impacts of climate change;;County Government
County River bank protection policy;;Emphasizes the importance of land protection along the river banks and strategies involved ;;County Government
County Sand harvesting Policy;;Strategies to control of sand harvesting for improved land management ;;County Government
County Climate Service Plan;;Deliver, accessible, timely climate information which support county and sub-county develop decision process for the benefit of livelihoods ;;County meteorological directorate
County Bill on Biodiversity Conservation Bill;;Emphasises the economic and health potential of local biodiversity, including soil biodiversity /soil health ;;County Government Environment Department
Kenya Climate Smart Agriculture Implementation Framework;;The framework sets for strategies on how to increase productivity, enhance resilience and mitigate GHG in farming systems.;;County Government (Department of Agriculture
County Integrated Development Plan (CIDP);2018 - 2022;Guide for county development strategies and priority actions;;County Government
KMD Data policy;;Ensure quality and strengthen, collection, transmission, analysis, processing archiving, exchange and application of national meteorological data using best practices;;Kenya Meteorological Department
National Climate Change Action Plan;2018 - 2022;Adaptation to climate change and reduction of greenhouse gas emissions;;Ministry of Environment
Agricultural sector transformation and growth strategy;2019 - 2022;A vibrant, commercial and modern agricultural sector that sustainably supports Kenya-s development Strengthen research and innovation, and launch priority digital and data use cases for better decision-making and performance management Define data laws and set up open data platforms for agricultural data at national and county levels;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
Draft Agricultural sector transformation and growth strategy (County);;;;County Department of Agriculture
County Department of Agriculture Strategic Plan;2017 - 2022;Guide investments in agriculture for sustainable production;;County Department of Agriculture
Draft KALRO Strategic Plan;2022 - 2027;Guide on research technology generation and dissemination to the County;;KALRO
KEPHIS Strategic Plan;2022 - 2027;To protect agricultural crops from pests and diseases in order to contribute towards improved levels of agricultural productivity.;;KEPHIS
Agricultural Policy 2021;2021;Gives direction on how watershed development, agro-forestry, soil and water management e.t.c. are to be managed for agricultural sustainability;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
Climate Change Act No. 11;2016;"Provide for a regulatory framework for enhanced response to climate change; to provide for mechanism and measures to achieve low carbon climate development, and for connected purposes";;Ministry of Environment and climate change
Draft County Potato Strategy;;Goal is to put measures fo sustainable potato production in Taita Taveta;;County Department of Agriculture
National Agricultural Sector Extension Policy;2012;The policy will enable the extension service to realize its vision: -Kenyan agricultural extension clientele demand and access appropriate quality extension services from the best providers and attain higher productivity, increased incomes and improved standard of living-. Recognizes that Information technology and digital technologies for extension services - key in reshaping the agri-food ;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
National Agricultural Soil Management Policy;2022;Aims to facilitate restoration and maintenance of agricultural soils in order to increase productivity, improve food security and contribute to poverty reduction while conserving the soil and water resources for future generation. ;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
National Agricultural Research Systems Policy;2012;To promote an innovative, commercially- oriented, and modern agricultural sector ;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
Draft National Land Use Policy;2016;To provide legal, administrative, institutional and technological framework for optimal utilization and productivity of land related resources in a sustainable and desirable manner at national, county and community levels. ;;Ministry of Lands
Kenya Climate Smart Agriculture Implementation Framework;;The framework sets for strategies on how to increasing productivity, enhance resilience and mitigate GHG in farming systems. ;;County Government (Department of Agriculture)
National Agriculture Policy, Fisheries and Ocean Policy;2008;Proposed the adoption of risk management measures in the sub-sector that will promote the development of appropriate Fisheries, Aquaculture and Blue Economy insurance packages as one of the safety nets available for the players in the industry ;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
National Food and Nutrition Security Policy;2011;To advance the national food safety system to prevent, detect and manage food safety risks for protection of human health and promotion of food trade consistent with national, regional and international requirements ;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
"Vision 2030; and the Third Medium-Term Plan - MTPIII ";2018-2022;Transform Kenya into a newly-industrialising, middle income country providing a high quality of life to all its citizens in a clean and secure environment (one of the areas of intervention is fertilizer subsidies) ;;Ministry of Devolution
Crops Act No. 16;2013;Accelerate the growth and development of agriculture, enhance productivity and incomes of farmers and the rural population, improve investment climate and efficiency of agribusiness and develop agricultural crops as export crops.;;Ministry of Agriculture, Livestock, Fisheries and Cooperatives
Wildlife Conservation and Management Act CAP 376;2013;This Act provides for the protection, conservation and management of wildlife in Kenya and related matters, including agriculture-wildlife conflicts;;Ministry of Environment and Climate Change
National Wildlife Conservation andManagement Policy;2017;"Goal is the sustainable management of wildlife resources and their ecological and land resources to contribute to the sustainable development of the country; and enhance the quality of human life.";;Ministry of Environment and Climate Change
Community Land Act No. 27;2016;Aims at sustainable conservation of land based natural resources within community land across counties;;Ministry of Lands
Kenya Agricultural and Livestock Research Act No. 17;2013;"Provide for the establishment and functions of the Kenya Agricultural and Livestock Research Organization; and to provide for the co-ordination of agricultural research activities in Kenya, and for connected purposes";;KALRO
Irrigation Policy;2015;To transform the irrigation sector through accelerated development, modernization and commercialization of sustainable irrigation systems and water storage for attainment of food security;;Ministery of agriculture
